City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Nachingwea,TZ,2021-03-02 05:10:28,-10.3833,38.7667,73.04,91,97,0.98
68,Busselton,AU,2021-03-02 05:10:29,-33.65,115.3333,80.01,56,44,5.01
69,Maryville,US,2021-03-02 05:10:29,35.7565,-83.9705,42.01,60,75,6.91
70,Vanavara,RU,2021-03-02 05:10:29,60.34,102.2797,-13.22,85,95,4.56
71,Rikitea,PF,2021-03-02 05:10:30,-23.1203,-134.9692,78.78,64,64,5.55
72,Napier,NZ,2021-03-02 05:10:31,-39.4833,176.9167,71.01,80,26,5.01
73,Tasiilaq,GL,2021-03-02 05:10:31,65.6145,-37.6368,14.0,52,3,6.91
74,Roald,NO,2021-03-02 05:10:31,62.5833,6.1333,42.01,100,90,3.44
75,Tuatapere,NZ,2021-03-02 05:10:32,-46.1333,167.6833,64.0,86,89,11.01
76,Ulladulla,AU,2021-03-02 05:09:11,-35.35,150.4667,66.2,48,75,13.8
77,Pacasmayo,PE,2021-03-02 05:10:32,-7.4006,-79.5714,74.25,70,84,6.08
78,Mahebourg,MU,2021-03-02 05:10:32,-20.4081,57.7,84.2,65,40,11.5
79,Libreville,GA,2021-03-02 05:05:39,0.3925,9.4537,77.0,94,20,3.44
80,Palauig,PH,2021-03-02 05:10:33,15.435,119.9045,84.56,69,26,3.94
81,Lompoc,US,2021-03-02 05:10:33,34.6391,-120.4579,50.0,49,1,5.75
82,La Romana,DO,2021-03-02 05:07:33,18.4273,-68.9728,69.6,84,1,12.26
83,Bluff,NZ,2021-03-02 05:10:34,-46.6,168.3333,64.0,86,94,11.01
84,Esperance,AU,2021-03-02 05:07:53,-33.8667,121.9,77.0,50,75,16.11
85,Cidreira,BR,2021-03-02 05:10:34,-30.1811,-50.2056,74.61,86,91,16.15
86,Arraial Do Cabo,BR,2021-03-02 05:10:34,-22.9661,-42.0278,76.48,87,96,17.47
87,Arys,KZ,2021-03-02 05:10:35,42.4252,68.795,53.6,47,0,15.66
88,Oussouye,SN,2021-03-02 05:10:35,12.485,-16.5469,66.29,40,0,6.49
89,Olga,RU,2021-03-02 05:10:36,43.7444,135.2892,23.83,73,35,14.65
90,Puerto Ayora,EC,2021-03-02 05:10:36,-0.7393,-90.3518,77.0,97,26,2.39
91,Jamestown,US,2021-03-02 05:10:36,42.097,-79.2353,18.0,91,90,15.5
92,Atlantic City,US,2021-03-02 05:10:21,39.3643,-74.4229,37.99,48,1,18.41
93,Yellowknife,CA,2021-03-02 05:10:37,62.456,-114.3525,-7.01,71,90,9.22
94,Kapaa,US,2021-03-02 05:06:46,22.0752,-159.319,71.6,73,75,18.41
95,Colatina,BR,2021-03-02 05:06:01,-19.5394,-40.6306,66.99,100,58,0.85
96,Marathon,US,2021-03-02 05:10:37,44.9,-89.7668,12.99,57,1,4.25
97,Taltal,CL,2021-03-02 05:10:38,-25.4,-70.4833,64.2,77,1,3.09
98,Staryy Nadym,RU,2021-03-02 05:10:38,65.6118,72.6842,-2.78,89,100,23.62
99,Port-Gentil,GA,2021-03-02 05:10:38,-0.7193,8.7815,81.63,81,100,11.1
100,Jacareacanga,BR,2021-03-02 05:10:39,-6.2222,-57.7528,70.92,98,97,2.13
101,Urumqi,CN,2021-03-02 05:07:15,43.801,87.6005,19.4,68,34,4.47
102,San Cristobal,VE,2021-03-02 05:10:40,7.7669,-72.225,64.44,83,76,2.21
103,Tual,ID,2021-03-02 05:09:09,-5.6667,132.75,83.7,73,78,13.47
104,Sinnamary,GF,2021-03-02 05:10:41,5.3833,-52.95,75.4,90,97,5.95
105,Yumen,CN,2021-03-02 05:10:41,40.2833,97.2,40.73,27,0,30.6
106,Souillac,MU,2021-03-02 05:10:41,-20.5167,57.5167,84.2,65,40,11.5
107,Coquimbo,CL,2021-03-02 05:10:42,-29.9533,-71.3436,60.8,82,90,3.44
108,Carnarvon,AU,2021-03-02 05:10:42,-24.8667,113.6333,82.4,69,40,18.41
109,Pangnirtung,CA,2021-03-02 05:10:42,66.1451,-65.7125,10.31,88,100,14.25
110,Kalevala,RU,2021-03-02 05:10:43,65.2,31.1667,21.9,79,48,12.5
111,Leningradskiy,RU,2021-03-02 05:10:43,69.3833,178.4167,-22.88,85,100,5.73
112,Teluk Nibung,ID,2021-03-02 05:10:43,3.001,99.8164,86.02,62,25,5.86
113,Namibe,AO,2021-03-02 05:10:44,-15.1961,12.1522,73.83,70,17,7.18
114,Norman Wells,CA,2021-03-02 05:10:44,65.282,-126.8329,-9.4,59,40,16.11
115,Sechura,PE,2021-03-02 05:10:44,-5.5569,-80.8222,77.99,66,89,5.14
116,Taksimo,RU,2021-03-02 05:10:45,56.3444,114.8794,-10.84,86,97,2.93
117,Tuktoyaktuk,CA,2021-03-02 05:10:45,69.4541,-133.0374,-23.8,69,20,10.36
118,Hasaki,JP,2021-03-02 05:10:45,35.7333,140.8333,69.01,77,75,16.11
119,Polunochnoye,RU,2021-03-02 05:10:45,60.8697,60.4153,10.0,94,100,8.9
120,Myitkyina,MM,2021-03-02 05:08:09,25.3833,97.4,91.9,24,35,0.11
121,Butaritari,KI,2021-03-02 05:10:46,3.0707,172.7902,81.46,79,63,12.48
122,Charters Towers,AU,2021-03-02 05:10:46,-20.1,146.2667,88.88,45,63,19.33
123,Mitu,CO,2021-03-02 05:10:47,1.1983,-70.1733,73.02,89,99,2.08
124,San Patricio,US,2021-03-02 05:10:47,28.017,-97.5169,55.4,82,90,16.11
125,Nandu,CN,2021-03-02 05:10:47,22.8525,110.8233,69.85,49,25,7.61
126,Labuhan,ID,2021-03-02 05:10:47,-6.8844,112.2051,86.23,65,14,6.76
