City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Geraldton,AU,-28.7667,114.6,77.0,57,0,18.41,clear sky
80,Egvekinot,RU,66.3167,-179.1667,-0.62,96,100,16.75,snow
81,Olafsvik,IS,64.8945,-23.7142,39.79,77,87,17.25,overcast clouds
82,Portland,US,45.5234,-122.6762,48.99,81,75,11.5,broken clouds
83,Atuona,PF,-9.8,-139.0333,79.77,73,37,11.1,scattered clouds
84,Mar Del Plata,AR,-38.0023,-57.5575,84.99,47,0,10.36,clear sky
85,Yinchuan,CN,38.4681,106.2731,44.55,60,100,9.4,overcast clouds
86,Port Blair,IN,11.6667,92.75,79.29,78,0,7.45,clear sky
87,Praia Da Vitoria,PT,38.7333,-27.0667,62.6,94,75,15.37,broken clouds
88,Rikitea,PF,-23.1203,-134.9692,80.76,78,100,17.4,light rain
89,Toda Raisingh,IN,26.0252,75.4849,69.08,27,0,8.34,clear sky
90,Saint-Philippe,RE,-21.3585,55.7679,77.0,88,15,4.61,few clouds
91,Batemans Bay,AU,-35.7167,150.1833,62.01,94,38,1.99,scattered clouds
92,Vardo,NO,70.3705,31.1107,24.8,68,75,9.22,light snow
93,Luderitz,NA,-26.6481,15.1594,66.61,65,0,17.52,clear sky
94,Puerto Ayora,EC,-0.7393,-90.3518,86.0,70,20,11.5,light rain
95,Kodiak,US,57.79,-152.4072,42.8,49,1,11.5,clear sky
96,Shingu,JP,33.7333,135.9833,52.43,90,100,9.4,overcast clouds
97,Maningrida,AU,-12.0667,134.2667,78.91,87,60,6.8,broken clouds
98,Moa,CU,20.6569,-74.9403,80.13,67,28,6.55,scattered clouds
99,Talnakh,RU,69.4865,88.3972,-10.7,89,100,6.33,overcast clouds
100,Kapaa,US,22.0752,-159.319,75.2,69,40,16.11,light rain
101,Shimoda,JP,34.6667,138.95,39.0,90,100,10.22,overcast clouds
102,Marzuq,YE,14.4,46.4667,61.18,34,23,5.06,few clouds
103,Ancud,CL,-41.8697,-73.8203,66.2,48,0,11.5,clear sky
104,Kutum,SD,14.2,24.6667,64.62,18,21,13.62,few clouds
105,Sakakah,SA,29.9697,40.2064,62.6,25,0,6.91,clear sky
106,Ouadda,CF,8.0777,22.4007,76.98,24,79,1.16,broken clouds
107,Ponta Do Sol,PT,32.6667,-17.1,59.0,76,57,1.01,broken clouds
108,Alofi,NU,-19.0595,-169.9187,82.4,89,75,6.91,light intensity drizzle
109,Ushuaia,AR,-54.8,-68.3,44.6,70,40,26.46,scattered clouds
110,Ishurdi,BD,24.1333,89.0833,67.86,88,0,7.0,clear sky
111,Northam,GB,51.0333,-4.2167,33.01,73,49,1.01,scattered clouds
112,Mangrol,IN,21.1167,70.1167,74.39,83,0,7.07,clear sky
113,Mosquera,CO,4.7059,-74.2302,59.0,88,75,5.75,broken clouds
114,Lata,PT,40.1629,-8.3327,54.0,90,28,1.99,scattered clouds
115,Nuqui,CO,5.7125,-77.2708,81.01,81,88,9.44,light rain
116,Deputatskiy,RU,69.3,139.9,-20.38,86,100,6.24,overcast clouds
117,Ayame,CI,5.6083,-3.1563,77.32,91,95,4.92,overcast clouds
118,Aripuana,BR,-9.1667,-60.6333,86.59,67,52,2.01,broken clouds
119,Bredasdorp,ZA,-34.5322,20.0403,62.6,77,100,5.75,overcast clouds
120,Umtata,ZA,-31.5889,28.7844,62.6,94,99,3.44,overcast clouds
121,Shurob,TJ,40.0491,70.5489,36.28,84,81,0.76,broken clouds
122,Asau,RO,46.4333,26.4,36.0,41,0,6.91,clear sky
123,East London,ZA,-33.0153,27.9116,69.98,81,60,6.15,broken clouds
124,Ribeira Grande,PT,38.5167,-28.7,60.8,100,75,13.8,light intensity drizzle
125,Albany,US,42.6001,-73.9662,33.01,36,58,10.0,broken clouds
126,Aklavik,CA,68.2191,-135.0107,-9.4,59,75,4.61,broken clouds
127,Griffith,US,41.5284,-87.4237,51.01,43,1,9.22,clear sky
128,Kaitangata,NZ,-46.2817,169.8464,53.01,67,91,11.99,overcast clouds
129,Hami,CN,42.8,93.45,38.01,66,54,2.93,broken clouds
130,Sakata,JP,38.9167,139.855,32.5,86,7,1.5,clear sky
131,Bontang,ID,0.1333,117.5,76.37,85,87,5.53,overcast clouds
132,Xining,CN,36.6167,101.7667,31.93,85,0,1.86,clear sky
133,Mataura,NZ,-46.1927,168.8643,55.0,66,92,10.0,overcast clouds
134,Gashua,NG,12.871,11.0482,79.09,13,0,9.1,clear sky
135,Mount Isa,AU,-20.7333,139.5,78.8,61,59,9.22,broken clouds
136,Lagoa,PT,39.05,-27.9833,60.12,97,93,14.97,overcast clouds
137,Synya,RU,65.3718,58.0387,-19.03,88,75,1.77,broken clouds
138,Karratha,AU,-20.7377,116.8463,80.31,80,1,8.93,clear sky
139,Kouango,CF,4.9934,19.9619,80.58,38,100,5.03,overcast clouds
140,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,93.22,33,47,6.11,scattered clouds
141,San Jorge,AR,-31.8962,-61.8598,91.99,27,0,1.99,clear sky
142,Te Anau,NZ,-45.4167,167.7167,46.58,71,59,0.83,broken clouds
143,Chuy,UY,-33.6971,-53.4616,73.08,77,19,8.93,few clouds
144,Cayenne,GF,4.9333,-52.3333,80.6,83,20,5.75,few clouds
145,Bulgan,MN,48.8125,103.5347,25.25,78,0,4.83,clear sky
146,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,20,13.8,snow
147,Luena,AO,-11.7833,19.9167,65.41,81,63,2.8,broken clouds
148,Castro,BR,-24.7911,-50.0119,67.75,92,42,5.03,scattered clouds
149,Kudahuvadhoo,MV,2.6708,72.8944,81.99,74,0,10.47,clear sky
150,Lianzhou,CN,24.7811,112.3825,53.91,82,90,2.01,overcast clouds
151,Pahrump,US,36.2083,-115.9839,70.0,20,100,9.66,overcast clouds
152,Debre Sina,ET,9.85,39.7667,48.29,55,0,2.33,clear sky
153,Vila Velha,BR,-20.3297,-40.2925,84.0,89,90,3.44,overcast clouds
154,Amalapuram,IN,16.5833,82.0167,70.88,95,1,1.68,clear sky
155,Syracuse,IT,37.0881,15.2792,55.4,82,75,5.75,broken clouds
156,Salta,AR,-24.7859,-65.4117,82.4,47,40,8.05,scattered clouds
157,Nyurba,RU,63.2842,118.3319,12.7,96,100,3.53,light snow
158,Cherskiy,RU,68.75,161.3,-23.24,87,100,6.71,overcast clouds
159,Dikson,RU,73.5069,80.5464,-16.56,88,99,8.99,overcast clouds
160,Ust-Koksa,RU,50.2696,85.6108,18.09,85,100,1.72,overcast clouds
161,Mwinilunga,ZM,-11.7358,24.4293,64.27,93,99,1.36,moderate rain
162,Quang Ngai,VN,15.1167,108.8,71.67,87,52,3.18,broken clouds
163,Port Hedland,AU,-20.3167,118.5667,78.8,83,39,9.22,scattered clouds
164,Kruisfontein,ZA,-34.0033,24.7314,69.01,80,83,3.0,broken clouds
165,Rawson,AR,-43.3002,-65.1023,82.08,17,0,32.79,clear sky
166,Methoni,GR,36.8197,21.7049,55.0,76,40,5.99,scattered clouds
167,Troitskoye,RU,52.9821,84.6757,19.85,97,97,5.88,overcast clouds
168,Dubki,RU,43.0225,46.8372,24.51,89,21,5.99,few clouds
169,Becerril,CO,9.7041,-73.2793,96.6,35,84,6.35,broken clouds
170,Gizo,SB,-8.103,156.8419,81.28,77,100,6.29,overcast clouds
171,Aksu,CN,41.1231,80.2644,40.89,65,49,2.84,scattered clouds
172,La Palma,US,33.8464,-118.0467,64.0,67,75,4.61,broken clouds
173,Caravelas,BR,-17.7125,-39.2481,79.99,79,45,10.83,scattered clouds
174,Ginda,IN,30.6945,78.4932,50.85,62,100,7.02,overcast clouds
175,Ternate,ID,0.8,127.4,78.57,75,78,6.8,broken clouds
176,Cap Malheureux,MU,-19.9842,57.6142,80.01,80,84,18.63,light rain
177,Batagay,RU,67.6333,134.6333,-22.76,84,96,4.18,overcast clouds
