City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
135,Mount Isa,AU,78.8,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
136,Lagoa,PT,60.12,overcast clouds,39.05,-27.9833,Casa Das Faias
138,Karratha,AU,80.31,clear sky,-20.7377,116.8463,ibis Styles Karratha
139,Kouango,CF,80.58,overcast clouds,4.9934,19.9619,
140,Mayor Pablo Lagerenza,PY,93.22,scattered clouds,-19.9309,-60.7718,
141,San Jorge,AR,91.99,clear sky,-31.8962,-61.8598,INDIGO Hostel
143,Chuy,UY,73.08,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
144,Cayenne,GF,80.6,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
147,Luena,AO,65.41,broken clouds,-11.7833,19.9167,Hotel Kandamba
148,Castro,BR,67.75,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
149,Kudahuvadhoo,MV,81.99,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
151,Pahrump,US,70.0,overcast clouds,36.2083,-115.9839,Best Western Pahrump Oasis
153,Vila Velha,BR,84.0,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
154,Amalapuram,IN,70.88,clear sky,16.5833,82.0167,swayamprabha service apartments
156,Salta,AR,82.4,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
161,Mwinilunga,ZM,64.27,moderate rain,-11.7358,24.4293,Kwakuwahi Lodge
162,Quang Ngai,VN,71.67,broken clouds,15.1167,108.8,Central Hotel
163,Port Hedland,AU,78.8,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
164,Kruisfontein,ZA,69.01,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
165,Rawson,AR,82.08,clear sky,-43.3002,-65.1023,Hosteria Sampedro
170,Gizo,SB,81.28,overcast clouds,-8.103,156.8419,Imagination Island
172,La Palma,US,64.0,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
